Linux 6.18.5-100.fc42.x86_64 (midu-thinkpadp16vgen1.rmtat.csb) 	01/23/2026 	_x86_64_	(16 CPU)

04:18:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:15 PM    5    1.00    0.00   16.00    0.00    1.00   77.00    0.00    0.00    0.00    5.00
04:18:15 PM    6    2.00    0.00   15.00    0.00    1.00   77.00    0.00    0.00    0.00    5.00
04:18:15 PM    7   39.39    0.00   13.13    0.00    1.01   44.44    0.00    0.00    0.00    2.02
04:18:15 PM    8    5.05    1.01   16.16    0.00    0.00   74.75    0.00    0.00    0.00    3.03
04:18:15 PM    9    5.05    0.00   14.14    0.00    0.00   78.79    0.00    0.00    0.00    2.02
04:18:15 PM   10    3.96    0.00   15.84    0.00    0.00   75.25    0.00    0.00    0.00    4.95
04:18:15 PM   11   37.00    0.00   11.00    0.00    1.00   50.00    0.00    0.00    0.00    1.00
04:18:15 PM   12    6.00    1.00   15.00    0.00    0.00   77.00    0.00    0.00    0.00    1.00
04:18:15 PM   13    1.00    0.00   14.00    0.00    1.00   82.00    0.00    0.00    0.00    2.00
04:18:15 PM   14   10.00    0.00   14.00    0.00    1.00   73.00    0.00    0.00    0.00    2.00
04:18:15 PM   15    4.00    0.00   15.00    0.00    0.00   78.00    0.00    0.00    0.00    3.00

04:18:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:16 PM  all    8.02    0.06   14.35    0.00    0.56   73.68    0.00    0.00    0.00    3.32
04:18:16 PM    0    3.96    0.00   15.84    0.00    0.99   76.24    0.00    0.00    0.00    2.97
04:18:16 PM    1    3.03    0.00   14.14    0.00    1.01   78.79    0.00    0.00    0.00    3.03
04:18:16 PM    2    1.00    1.00   15.00    0.00    0.00   79.00    0.00    0.00    0.00    4.00
04:18:16 PM    3    3.03    0.00   17.17    0.00    1.01   75.76    0.00    0.00    0.00    3.03
04:18:16 PM    4    3.03    0.00   16.16    0.00    0.00   77.78    0.00    0.00    0.00    3.03
04:18:16 PM    5   17.17    0.00   14.14    0.00    0.00   67.68    0.00    0.00    0.00    1.01
